ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,BuyLaptop,Cluster
459369,Male,Yes,40,No,Engineer,,Average,6.0,Yes,1
463049,Male,Yes,51,No,Executive,4.0,High,4.0,Yes,1
465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,No,4
467962,Female,No,20,No,Healthcare,0.0,Low,,No,2
461987,Female,Yes,43,No,Engineer,1.0,Average,2.0,Yes,4
461698,Female,Yes,67,Yes,Artist,0.0,High,2.0,Yes,4
459076,Male,Yes,64,No,Doctor,2.0,Average,2.0,Yes,1
462380,Female,Yes,54,No,Artist,0.0,High,4.0,Yes,4
461991,Male,No,23,No,Doctor,0.0,Low,4.0,No,2
465320,Male,Yes,70,Yes,Lawyer,0.0,Average,1.0,Yes,3
467627,Female,No,45,Yes,Engineer,0.0,Low,1.0,No,0
460459,Female,No,33,No,Engineer,0.0,Low,5.0,No,2
467908,Female,Yes,40,Yes,Engineer,0.0,High,3.0,Yes,4
467727,Male,Yes,45,Yes,Artist,7.0,High,4.0,Yes,1
466842,Male,No,19,No,Healthcare,8.0,Low,5.0,No,2
459156,Female,Yes,81,Yes,Lawyer,1.0,High,2.0,Yes,3
465486,Female,Yes,59,No,Artist,1.0,High,2.0,Yes,4
460856,Male,Yes,42,Yes,Artist,0.0,Average,3.0,No,1
461989,Female,,59,Yes,Engineer,2.0,Average,3.0,Yes,4
467737,Female,Yes,51,Yes,Entertainment,7.0,Average,2.0,No,4
462604,Female,Yes,35,No,Doctor,3.0,Average,2.0,Yes,4
461646,Female,Yes,65,Yes,Artist,,High,4.0,Yes,4
460332,Male,No,28,Yes,Healthcare,0.0,Low,5.0,No,2
463227,Female,Yes,31,Yes,Engineer,1.0,Average,2.0,Yes,4
460279,Female,Yes,23,No,Entertainment,6.0,High,1.0,Yes,4
462644,Male,Yes,29,No,Engineer,,Average,3.0,Yes,1
459746,Male,,56,Yes,Artist,1.0,Average,2.0,No,1
464442,Male,Yes,53,Yes,Lawyer,0.0,High,1.0,Yes,3
464168,Male,Yes,45,Yes,Executive,1.0,High,3.0,Yes,1
466463,Female,No,29,Yes,Healthcare,2.0,Low,4.0,No,2
461885,Male,Yes,47,Yes,Artist,2.0,High,4.0,Yes,1
460990,Male,No,22,No,Healthcare,1.0,Low,3.0,No,2
465605,Female,Yes,52,Yes,Engineer,4.0,Low,1.0,No,4
462215,Female,No,20,No,Marketing,1.0,Low,3.0,No,2
462348,Female,Yes,73,Yes,Lawyer,2.0,High,1.0,Yes,3
462009,Female,Yes,34,Yes,Healthcare,9.0,High,1.0,Yes,4
466127,Male,Yes,46,Yes,Doctor,3.0,Average,5.0,Yes,1
467512,Male,Yes,41,No,Artist,0.0,Average,2.0,No,1
465025,Male,Yes,73,Yes,Executive,0.0,High,2.0,Yes,3
464075,Female,Yes,86,Yes,Lawyer,0.0,High,2.0,Yes,3
461687,Female,Yes,76,Yes,Artist,0.0,High,2.0,Yes,4
459171,Male,Yes,40,Yes,Artist,1.0,Average,2.0,No,1
467259,Male,Yes,71,Yes,Lawyer,3.0,High,3.0,Yes,3
460078,Male,Yes,43,Yes,Healthcare,10.0,High,2.0,Yes,1
