trust_apple,interest_computers,age_computer,user_pcmac,appleproducts_count,familiarity_m1,f_batterylife,f_price,f_size,f_multitasking,f_noise,f_performance,f_neural,f_synergy,f_performanceloss,m1_consideration,m1_purchase,gender,age_group,income_group,status,domain,Cluster
No,4,20,PC,0,No,5,4,3,4,4,2,2,1,1,1,Yes,Male,2,2,Student,Science,4
Yes,2,4,PC,1,No,5,5,5,3,4,5,2,2,4,2,No,Male,2,3,Employed,Finance,1
Yes,5,6,PC,0,No,3,4,2,4,1,4,2,2,2,4,Yes,Male,2,2,Student,IT & Technology,4
Yes,2,6,Apple,4,No,4,3,3,4,4,4,4,4,3,2,No,Female,2,2,Student,Arts & Culture,2
Yes,4,4,Apple,7,Yes,5,3,3,4,4,5,3,4,4,4,Yes,Male,5,7,Employed,Hospitality,0
Yes,3,1,Apple,2,No,5,5,4,4,5,5,5,4,2,2,No,Female,2,2,Student,Politics,1
Yes,3,2,Apple,7,No,4,3,4,5,5,5,3,3,2,3,Yes,Male,6,7,Employed,IT & Technology,0
No,0,0,PC,0,No,5,5,4,4,3,3,2,2,3,1,No,Male,2,2,Student,Social Sciences,4
Yes,4,2,Apple,6,Yes,4,4,3,4,4,4,3,3,4,5,Yes,Male,8,7,Employed,IT & Technology,0
Yes,5,0,Apple,7,Yes,5,3,5,5,5,5,3,5,5,5,Yes,Male,4,6,Employed,Hospitality,0
No,4,0,PC,2,No,5,5,5,5,5,5,2,3,2,3,No,Female,3,1,Student,Social Sciences,1
Yes,3,0,Apple,3,No,4,4,3,4,5,3,4,3,2,3,Yes,Male,1,2,Student,IT & Technology,1
Yes,4,3,PC,3,No,5,3,4,3,5,4,1,5,4,1,Yes,Female,3,7,Employed,IT & Technology,0
Yes,2,4,PC,0,No,5,5,4,3,3,4,3,4,2,4,Yes,Male,2,2,Student,Administration & Public Services,2
Yes,2,9,PC,1,No,4,5,2,3,1,3,3,4,1,2,No,Female,2,3,Employed,Education,2
Yes,4,4,Apple,7,Yes,5,3,3,4,4,5,3,4,4,4,No,Male,5,7,Employed,Hospitality,0
Yes,5,3,Apple,2,No,4,5,4,5,5,5,3,5,2,4,Yes,Male,1,2,Student,Science,1
No,3,0,PC,0,No,5,5,4,3,5,5,4,4,4,4,No,Male,2,2,Student,Engineering,1
Yes,4,0,Apple,4,No,5,2,5,5,5,3,2,3,5,2,Yes,Female,2,1,Student,Marketing,1
No,5,3,PC,0,No,4,4,4,5,4,5,4,1,5,4,No,Male,3,4,Employed,Science,4
Yes,3,6,Apple,3,No,5,3,2,4,4,3,3,5,4,3,Yes,Female,2,5,Employed,Healthcare,2
Yes,4,3,Apple,4,Yes,5,2,3,4,3,4,2,2,2,5,Yes,Male,3,6,Employed,IT & Technology,0
Yes,4,5,Hp,0,No,4,3,2,4,2,4,3,2,4,3,No,Female,3,3,Student,Finance,4
No,4,3,Apple,2,Yes,5,5,2,5,4,5,4,2,2,5,Yes,Male,2,1,Student,Finance,3
Yes,5,0,PC,0,Yes,5,5,5,5,5,5,5,5,5,5,Yes,Female,3,1,Student,IT & Technology,3
No,5,0,PC,2,No,3,3,3,3,3,3,2,5,5,4,Yes,Female,3,1,Student,Business,4
Yes,4,4,Apple,7,Yes,5,3,3,4,4,5,3,4,4,4,Yes,Male,5,7,Employed,Hospitality,0
No,5,4,PC,0,Yes,3,4,3,4,4,4,3,4,4,4,No,Male,2,3,Employed,Business,4
Yes,5,0,PC,0,Yes,5,5,5,5,5,5,5,1,5,1,No,Female,2,1,Student,IT & Technology,1
Yes,3,3,Apple,3,No,5,3,4,4,4,5,4,5,4,5,Yes,Female,8,4,Retired,Retired,0
Yes,5,0,Apple,3,Yes,4,3,4,4,4,4,3,4,4,5,Yes,Male,2,2,Student,Business,3
Yes,4,0,Apple,3,No,4,4,4,4,4,4,3,2,4,3,Yes,Female,2,4,Employed,IT & Technology,1
Yes,2,1,Apple,1,No,5,5,5,4,4,4,3,5,2,3,No,Female,2,2,Student,Social Sciences,1
Yes,4,2,Apple,3,No,3,2,2,3,3,4,3,5,4,5,Yes,Male,8,7,Employed,Education,0
Yes,4,1,PC,2,No,5,3,4,5,4,5,4,5,3,4,Yes,Male,10,7,Employed,Administration & Public Services,0
